2step;Gun_Point;0.0005;39.416;0.773;72.213;67.300;0.070
2step;Gun_Point;0.0010;33.570;0.827;50.467;90.570;0.080
2step;Gun_Point;0.0010;36.686;0.847;91.240;68.280;0.080
2step;Gun_Point;0.0050;78.910;0.513;7.880;73.410;0.020
2step;Gun_Point;0.0050;56.610;0.800;35.480;79.240;0.030
2step;Gun_Point;0.0100;86.000;0.493;6.667;77.230;0.010
2step;Gun_Point;0.0100;83.520;0.493;5.013;108.450;0.010
2step;Ham;0.0005;31.809;0.781;167.781;837.520;0.430
2step;Ham;0.0005;39.561;0.705;163.076;834.140;0.330
2step;Ham;0.0010;47.054;0.695;143.371;842.770;0.330
2step;Ham;0.0010;50.339;0.686;165.133;883.610;0.380
2step;Ham;0.0050;52.850;0.543;9.238;1244.700;0.020
2step;Ham;0.0050;54.820;0.514;7.276;937.610;0.010
2step;Ham;0.0100;55.200;0.514;4.000;1005.660;0.010
2step;Ham;0.0100;55.200;0.514;4.000;1737.950;0.010
2step;Haptics;0.0005;212.325;0.383;144.968;18596.960;3.290
2step;Haptics;0.0005;221.768;0.380;199.792;14094.320;3.490
2step;Haptics;0.0010;191.846;0.399;22.227;14052.800;0.200
2step;Haptics;0.0010;204.861;0.373;38.510;16076.030;0.650
2step;Haptics;0.0050;207.750;0.347;4.383;32629.760;0.040
2step;Haptics;0.0050;207.315;0.354;5.399;16962.050;0.030
2step;Haptics;0.0100;215.320;0.341;4.000;14380.020;0.020
2step;Haptics;0.0100;215.320;0.341;4.000;13015.140;0.020
2step;Herring;0.0005;35.881;0.516;152.531;994.600;0.210
2step;Herring;0.0005;29.302;0.609;134.438;564.090;0.100
2step;Herring;0.0010;30.170;0.625;96.406;587.180;0.070
2step;Herring;0.0010;38.228;0.547;144.188;589.900;0.100
2step;Herring;0.0050;28.365;0.594;7.391;624.170;0.010
2step;Herring;0.0050;29.380;0.594;10.562;659.380;0.010
2step;Herring;0.0100;28.560;0.594;4.000;606.750;0.010
2step;Herring;0.0100;28.560;0.594;4.000;1293.970;0.010
