Dataset,Ntest,T,Alpha_t,Alpha,Exact_Alpha_t,Ratio,Ratio_+-_10%,Ratio_+-_20%,Alpha_10%,Alpha_20%,Earliness.SVM,Accuracy.SVM,Cost.SVM_10%,Cost.SVM_20%,Earliness.GP,Accuracy.GP,Cost.GP_10%,Cost.GP_20%
SwedishLeaf,625,128,0.01,0.4,0.01172,117%,FALSE,TRUE,NA,0.4,5.00%,0.59,NA,296.25,10.10%,0.7,NA,268.3
TwoLeadECG,1139,82,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
TwoLeadECG,1139,82,0.001,0.9,0.00136,136%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
TwoLeadECG,1139,82,0.005,0.7,0.00523,105%,TRUE,TRUE,0.7,0.7,18.35%,0.44,723.532665,723.532665,23.68%,0.83,304.213232,304.213232
TwoLeadECG,1139,82,0.01,0.5,0.01220,122%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Two_Patterns,4000,128,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Two_Patterns,4000,128,0.001,0.8,0.00195,195%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Two_Patterns,4000,128,0.005,0.6,0.00521,104%,TRUE,TRUE,0.6,0.6,5.00%,0.28,3008,3008,42.50%,0.57,2808,2808
Two_Patterns,4000,128,0.01,0.4,0.01172,117%,FALSE,TRUE,NA,0.4,5.00%,0.28,NA,3136,5.40%,0.27,NA,3196.48
uWaveGestureLibrary_X,3582,315,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_X,3582,315,0.001,0.7,0.00136,136%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_X,3582,315,0.005,0.4,0.00476,95%,TRUE,TRUE,0.4,0.4,5.00%,0.28,2861.1225,2861.1225,23.50%,0.58,2830.22775,2830.22775
uWaveGestureLibrary_X,3582,315,0.01,0.2,0.01270,127%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Y,3582,315,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Y,3582,315,0.001,0.7,0.00136,136%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Y,3582,315,0.005,0.4,0.00476,95%,TRUE,TRUE,0.4,0.4,5.00%,0.3,2789.4825,2789.4825,10.45%,0.36,2882.032425,2882.032425
uWaveGestureLibrary_Y,3582,315,0.01,0.2,0.01270,127%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Z,3582,315,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Z,3582,315,0.001,0.7,0.00136,136%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
uWaveGestureLibrary_Z,3582,315,0.005,0.4,0.00476,95%,TRUE,TRUE,0.4,0.4,5.02%,0.28,2862.25083,2862.25083,9.62%,0.39,2727.74673,2727.74673
uWaveGestureLibrary_Z,3582,315,0.01,0.2,0.01270,127%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
wafer,6174,152,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
wafer,6174,152,0.001,0.8,0.00164,164%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
wafer,6174,152,0.005,0.6,0.00439,88%,FALSE,TRUE,NA,0.6,5.02%,0.93,NA,667.730448,5.31%,0.97,NA,434.377944
wafer,6174,152,0.01,0.4,0.00987,99%,TRUE,TRUE,0.4,0.4,5.00%,0.93,901.404,901.404,5.32%,0.97,684.474336,684.474336
yoga,3000,426,0.0005,0.8,0.00059,117%,FALSE,TRUE,NA,0.8,9.57%,0.66,NA,1081.1523,10.91%,0.78,NA,729.7149
yoga,3000,426,0.001,0.7,0.00101,101%,TRUE,TRUE,0.7,0.7,10.85%,0.66,1158.663,1158.663,10.93%,0.78,799.6854,799.6854
yoga,3000,426,0.005,0.3,0.00548,110%,TRUE,TRUE,0.3,0.3,5.87%,0.65,1425.093,1425.093,6.09%,0.74,1169.151,1169.151
yoga,3000,426,0.01,0.2,0.00939,94%,TRUE,TRUE,0.2,0.2,5.19%,0.64,1743.282,1743.282,5.50%,0.73,1512.9,1512.9
NonInvasiveFatalECG_Thorax1,1965,750,0.0005,0.7,0.00057,114%,FALSE,TRUE,NA,0.7,23.28%,0.64,NA,878.9445,9.44%,0.86,NA,344.661
NonInvasiveFatalECG_Thorax1,1965,750,0.001,0.5,0.00133,133%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
NonInvasiveFatalECG_Thorax1,1965,750,0.005,0.2,0.00533,107%,TRUE,TRUE,0.2,0.2,5.00%,0.47,1409.8875,1409.8875,5.21%,0.81,757.261875,757.261875
NonInvasiveFatalECG_Thorax1,1965,750,0.01,0.1,0.01200,120%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
NonInvasiveFatalECG_Thorax2,1965,750,0.0005,0.7,0.00057,114%,FALSE,TRUE,NA,0.7,7.68%,0.6,NA,842.592,15.40%,0.93,NA,251.02875
NonInvasiveFatalECG_Thorax2,1965,750,0.001,0.5,0.00133,133%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
NonInvasiveFatalECG_Thorax2,1965,750,0.005,0.2,0.00533,107%,TRUE,TRUE,0.2,0.2,5.00%,0.55,1252.6875,1252.6875,5.16%,0.85,674.9775,674.9775
NonInvasiveFatalECG_Thorax2,1965,750,0.01,0.1,0.01200,120%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Gun_Point,150,150,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Gun_Point,150,150,0.001,0.8,0.00167,167%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Gun_Point,150,150,0.005,0.6,0.00444,89%,FALSE,TRUE,NA,0.6,24.80%,0.78,NA,60.9,25.37%,0.89,NA,45.04125
Gun_Point,150,150,0.01,0.4,0.01000,100%,TRUE,TRUE,0.4,0.4,5.00%,0.8,41.25,41.25,18.20%,0.84,64.95,64.95
Haptics,308,1092,0.0005,0.6,0.00061,122%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Haptics,308,1092,0.001,0.4,0.00137,137%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Haptics,308,1092,0.005,0.2,0.00366,73%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Haptics,308,1092,0.01,0.1,0.00824,82%,FALSE,TRUE,NA,0.1,5.00%,0.41,NA,349.888,5.00%,0.37,NA,362.208
InlineSkate,550,1882,0.0005,0.5,0.00053,106%,TRUE,TRUE,0.5,0.5,5.00%,0.23,449.3775,449.3775,6.24%,0.25,444.79512,444.79512
InlineSkate,550,1882,0.001,0.3,0.00124,124%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
InlineSkate,550,1882,0.005,0.1,0.00478,96%,TRUE,TRUE,0.1,0.1,5.00%,0.23,682.275,682.275,5.00%,0.24,676.775,676.775
InlineSkate,550,1882,0.01,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
ItalyPowerDemand,1029,24,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
ItalyPowerDemand,1029,24,0.001,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
ItalyPowerDemand,1029,24,0.005,0.9,0.00463,93%,TRUE,TRUE,0.9,0.9,46.35%,0.92,139.55298,139.55298,36.91%,0.9,148.476468,148.476468
ItalyPowerDemand,1029,24,0.01,0.8,0.01042,104%,TRUE,TRUE,0.8,0.8,41.56%,0.91,195.246576,195.246576,32.19%,0.88,202.976424,202.976424
